Date,KSSMB,KQSMB,KSHML,KQHML,KSMMT,KQMMT
2015-09-15,-0.00135,0.00625,0.00572,-0.01265,-0.00287968,-0.061478717
2015-09-16,0.0069,0.00125,0.00039,0.004675,0.002656722,0.013429738
2015-09-17,0.00555,0.0031,0.005553333,-0.00105,0.021698349,0.000571404
2015-09-18,-0.0003,-0.0002,0.018816667,0.016525,0.027680313,0.028848424
2015-09-21,-0.00825,0.01075,-0.00319,-0.0137,-0.000841385,-0.034870991
2015-09-22,-0.00605,0.0087,-0.002486667,0.0113,0.004443,0.004552167
2015-09-23,-0.00755,0.00715,0.01463,-0.011125,-0.010196989,-0.042362577
2015-09-24,-0.00455,0.005,-0.000226667,-0.008325,0.02923049,0.023568741
2015-09-25,-0.0001,0.00725,-0.00404,-0.001775,-0.016059394,-0.000763462
2015-09-30,0.0105,0.0006,-0.00716,-0.0097,-0.013650663,-0.001391348
2015-10-01,-0.0086,-0.00025,0.00562,0.005325,0.009004455,0.014529691
2015-10-02,-0.0071,0.0003,0.013833333,-0.004875,-0.003687404,-0.006677714
2015-10-05,-0.00545,0.0027,0.004513333,-0.006225,-0.016302867,0.018869414
2015-10-06,0.004,0.00085,-0.002903333,-0.013125,0.001052762,0.007488473
2015-10-07,0.00115,0.01335,-0.002856667,0.005775,-0.017530909,-0.022147017
2015-10-08,0.00575,0.0133,0.00044,0.000775,-0.022189403,-0.038785894
2015-10-12,-0.00025,5.00E-05,-0.010526667,-0.01045,-0.034779492,-0.005242748
2015-10-13,-0.00035,-0.00505,-0.003036667,0.003125,-0.002394266,0.018420621
2015-10-14,-0.00385,0.00895,-0.00569,-0.00565,-0.015976979,-0.018054026
2015-10-15,0.00085,0.00985,0.00342,-0.0014,0.001664727,0.016698224
2015-10-16,-0.0026,-0.0038,0.008403333,-0.010075,0.003137537,-0.014523065
2015-10-19,0.0033,0.00165,0.010813333,-0.00455,-0.023931586,0.007696442
2015-10-20,-0.00205,0.0003,0.005503333,-0.0017,-0.002529857,0.021180798
2015-10-21,0.00205,0.0057,-0.00772,-0.0053,-0.012054698,-0.01405505
2015-10-22,0.006,0.0038,0.003536667,0.010525,-0.003542745,-0.011887164
2015-10-23,0.00625,-0.00665,0.01556,0.011525,0.002634975,0.023990595
2015-10-26,0.00455,-0.0054,0.0011,-0.00495,0.0033382,0.009364018
2015-10-27,0.00115,0.00365,0.004183333,0.005675,-0.009641579,0.003320276
2015-10-28,0.00385,-0.01375,0.010816667,0.016625,0.015801977,0.024474867
2015-10-29,0.00275,0.00225,0.01861,0.0045,-0.000471404,-0.026735146
2015-10-30,0.01105,0.0011,0.005963333,0.004475,-0.016927213,-0.011934165
2015-11-02,0.0022,-0.00205,0.00055,-0.0139,-0.005641469,-0.009757412
2015-11-03,0.0017,-0.00545,0.003153333,0.001825,-0.023652112,-0.007288328
2015-11-04,0.0011,0.00125,0.00053,-0.013425,-0.000929605,-0.030002311
2015-11-05,-0.0054,-0.00175,0.011753333,0.0084,0.012988893,0.006687373
2015-11-06,0.01035,-0.0114,0.02762,0.01505,0.01311693,0.014893469
2015-11-09,0.0175,-0.00035,0.008553333,0.0012,0.010872925,-0.006434231
2015-11-10,-0.0003,0.0134,0.00158,-0.0073,-0.011066091,0.004550074
2015-11-11,-0.009,0.0022,0.003586667,0.004975,-0.003781999,-0.018460801
2015-11-12,-0.0109,-0.0049,0.007423333,0.00425,0.01762768,-0.006038351
2015-11-13,0.0021,-0.00865,-0.001066667,0.009875,0.013483877,0.012631483
2015-11-16,-0.00195,-0.0064,-0.00195,0.0008,0.010786315,-0.034673796
2015-11-17,-0.0042,0.0002,0.00344,0.0042,-0.0274241,0.00401985
2015-11-18,1.00E-04,-0.0071,0.006253333,-0.00865,0.000726621,-0.014569067
2015-11-19,0.0041,-0.00195,-0.000656667,0.0044,0.018744081,0.007107749
2015-11-20,-0.0044,0.0049,0.008913333,0.0028,-0.009079133,-0.014020226
2015-11-23,0.0091,-0.00035,0.002383333,0.0074,0.040362593,0.041801326
2015-11-24,0.002,0.0087,-0.004886667,-0.00675,0.02195115,-0.070497571
2015-11-25,-0.00305,-0.00175,0.004393333,0.0028,-0.005345168,-0.012244703
2015-11-26,0.0033,0.00215,0.010163333,0.00275,0.014592695,0.041517931
2015-11-27,-0.00215,-0.0039,-0.002583333,-0.003575,0.017507155,0.009140763
2015-11-30,-0.0102,-0.0023,-0.005633333,0.001125,-0.001175934,0.000101646
2015-12-01,0.0049,-0.00255,-0.002283333,0.001775,-0.014480684,-0.014849201
2015-12-02,-0.00245,0.0006,0.00839,0.004425,0.010695659,-0.015032697
2015-12-03,-0.00295,0.00035,-0.00623,0.002325,-0.018486933,-0.00431921
2015-12-04,-0.0071,0.00595,0.000393333,-0.00435,-0.015539379,3.07E-05
2015-12-07,-0.00145,0.00695,-0.00183,-0.00335,-0.01448666,-0.021402818
2015-12-08,0.0122,0.00645,-0.012246667,-0.004775,0.018506616,-0.000642788
2015-12-09,0.0169,5.00E-05,0.001933333,-0.015525,0.011505168,-0.008553775
2015-12-10,0.0136,-0.00215,-0.008796667,0.008725,-0.000162264,0.002845826
2015-12-11,-0.0044,0.00775,-0.01004,-0.00735,-0.010874205,0.007600259
2015-12-14,0.01565,-0.00875,-0.014273333,-0.015425,-0.028542676,-0.021014025
2015-12-15,-0.00675,-0.00125,0.010696667,0.007075,-0.021530098,0.037344794
2015-12-16,0.0001,0.00615,0.00241,-0.002625,0.030787335,-0.006200075
2015-12-17,-0.00515,0.00195,-0.000796667,0.00245,0.030066558,0.010455726
2015-12-18,-0.007,-0.00445,0.0145,0.005175,-0.000855061,0.000457989
2015-12-21,0.0036,-0.0013,0.004283333,0.001125,0.026706207,-0.008427615
2015-12-22,0.001,-0.00135,-0.00522,0.00555,-0.017386032,0.011219482
2015-12-23,0.0015,0.0047,-0.008053333,-0.0102,-0.001039251,0.001997286
2015-12-24,-0.00375,0.005,-0.005703333,0.001125,0.006742199,-0.013791765
2015-12-28,-0.00725,-0.00535,0.002023333,0.004625,0.008716703,0.001166759
2015-12-29,-0.0042,-0.02475,0.024556667,0.028125,0.021302231,0.034569969
2015-12-30,-0.00415,-0.0013,0.008686667,0.010775,0.011076154,0.024812194
2016-01-04,-0.00475,0.00235,0.000123333,0.0068,0.004722503,0.005885947
2016-01-05,0.0001,-0.00045,0.005206667,0.006425,0.023066886,0.015560473
2016-01-06,-0.00035,-0.00845,0.01302,0.005975,0.025794697,0.006721845
2016-01-07,0.0039,-0.0028,0.006606667,0.001875,0.009898397,0.010927245
2016-01-08,0.00805,-0.0094,0.003873333,0.0101,0.009565169,0.032716898
2016-01-11,-0.00385,-0.0003,-0.007226667,0.001275,-0.004290985,-0.015017215
2016-01-12,0.0006,0.00725,-0.009423333,-0.0114,0.012682592,-0.001862006
2016-01-13,-0.00115,-0.01265,-0.00902,-0.006975,0.012601972,0.005282592
2016-01-14,-0.0011,0.0004,-0.000553333,-0.0022,0.00800029,-0.007338425
2016-01-15,-0.0007,0.0144,0.005146667,-0.07635,-0.00973436,0.018559952
2016-01-18,0.0011,-0.03195,6.00E-05,0.0543,-0.00361181,0.032175164
2016-01-19,-0.00225,-0.00955,0.014913333,0.048325,0.029291402,0.000208643
2016-01-20,-0.0026,-0.0133,0.001426667,-0.002,0.008944427,0.034530618
2016-01-21,0.00605,0.00035,0.006756667,0.015,-0.035326788,-0.015346016
2016-01-22,-0.0045,0.00495,-0.006493333,0.004225,0.009152144,-0.023555763
2016-01-25,-0.00685,-0.0024,-0.001963333,-0.012475,0.011013059,-0.002562082
2016-01-26,-0.0032,-0.00075,-0.002853333,0.008925,-0.013400004,-0.025375915
2016-01-27,0.00705,0.0115,-0.013513333,-0.013875,-0.029883903,-0.02390088
2016-01-28,0.0008,0.00035,-0.015146667,0.007675,0.001075922,-0.009175692
2016-01-29,-0.002,0.0006,-0.014296667,-0.003975,-0.002108451,-0.016706888
2016-02-01,0.002,-0.0147,0.002103333,0.0149,0.010715452,-0.01296179
2016-02-02,-0.0052,0.0013,-0.00443,-0.005275,0.00678423,0.026221204
2016-02-03,0.00005,0.0043,0.00198,0.00055,0.015316358,-0.001700989
2016-02-04,0.0012,0.00025,-0.01438,-0.01355,-0.014960245,-0.002627791
2016-02-05,-0.0037,0.0097,-0.005226667,0.0038,-0.000451111,-0.001178917
2016-02-11,0.0057,0.0088,-0.010443333,-0.0175,-0.017613328,-0.016371072
2016-02-12,0.01415,0.0149,-0.030903333,-0.02745,-0.065685335,-0.02004024
2016-02-15,-0.00335,0.0114,-0.002606667,-0.003625,0.020268685,0.036882739
2016-02-16,-0.0056,-0.0047,0.00864,0.009475,-0.000666716,-0.00606961
2016-02-17,0.0006,0.0212,-0.01521,-0.00575,-0.047823702,-0.01101674
2016-02-18,-0.0031,-0.00505,-0.000606667,0.0144,0.001507824,0.03024509
2016-02-19,0.0008,0.0012,0.00917,-0.001775,0.001296414,-0.007566139
