FuturesID,Name,Market,SpotName,SpotCode,Ticker
KRDRVFUSC8,파생 선물 삼성물산,KOSPI,삼성물산,KR7028260008,A028260
KRDRVFUSC9,파생 선물 한화,KOSPI,한화,KR7000880005,A000880
KRDRVFUSCA,파생 선물 한화생명,KOSPI,한화생명,KR7088350004,A088350
KRDRVFUSCB,파생 선물 한화솔루션,KOSPI,한화솔루션,KR7009830001,A009830
KRDRVFUSCC,파생 선물 현대글로비스,KOSPI,현대글로비스,KR7086280005,A086280
KRDRVFUSCD,파생 선물 현대미포조선,KOSPI,현대미포조선,KR7010620003,A010620
KRDRVFUSCE,파생 선물 현대해상,KOSPI,현대해상,KR7001450006,A001450
KRDRVFUSCF,파생 선물 카카오,KOSPI,카카오,KR7035720002,A035720
KRDRVFUSCG,파생 선물 파라다이스,KOSDAQ,파라다이스,KR7034230003,A034230
KRDRVFUSCJ,파생 선물 서울반도체,KOSDAQ,서울반도체,KR7046890000,A046890
KRDRVFUSCK,파생 선물 웹젠,KOSDAQ,웹젠,KR7069080000,A069080
KRDRVFUSCL,파생 선물 씨젠,KOSDAQ,씨젠,KR7096530001,A096530
KRDRVFUSCN,파생 선물 포스코 ICT,KOSDAQ,포스코 ICT,KR7022100002,A022100
KRDRVFUSCP,파생 선물 셀트리온,KOSPI,셀트리온,KR7068270008,A068270
KRDRVFUSCQ,파생 선물 와이지엔터,KOSDAQ,와이지엔터테인먼트,KR7122870009,A122870
KRDRVFUSCR,파생 선물 LG생활건강,KOSPI,LG생활건강,KR7051900009,A051900
KRDRVFUSCS,파생 선물 아모레G,KOSPI,아모레G,KR7002790004,A002790
KRDRVFUSCT,파생 선물 삼성화재,KOSPI,삼성화재,KR7000810002,A000810
KRDRVFUSCV,파생 선물 한미사이언스,KOSPI,한미사이언스,KR7008930000,A008930
KRDRVFUSCW,파생 선물 코웨이,KOSPI,코웨이,KR7021240007,A021240
KRDRVFUSCX,파생 선물 한미약품,KOSPI,한미약품,KR7128940004,A128940
KRDRVFUSCY,파생 선물 한온시스템,KOSPI,한온시스템,KR7018880005,A018880
KRDRVFUSCZ,파생 선물 BGF,KOSPI,BGF,KR7027410000,A027410
KRDRVFUSD0,파생 선물 DB손해보험,KOSPI,DB손해보험,KR7005830005,A005830
KRDRVFUSD1,파생 선물 CJ제일제당,KOSPI,CJ제일제당,KR7097950000,A097950
KRDRVFUSD2,파생 선물 한샘,KOSPI,한샘,KR7009240003,A009240
